active_time,author,cuisine,directions,ingredients,link,photographer,pub_date,rating,servings,title,total_time
45 minutes,Daniel Gritzer,Roasting," Combine soy sauce, lime juice, oil, brown sugar, cumin, black pepper, chili powder, and garlic in medium bowl and whisk to combine. Transfer 1/2 cup (120ml) marinade to a separate vessel and set aside., Place steaks in a gallon-sized zipper-lock bag and add remaining marinade. Seal bag, squeezing out as much air as possible. Massage bag until meat is fully coated in marinade. Lay flat in refrigerator, turning every couple of hours, for at least 3 and up to 10 hours., When ready to cook, preheat broiler and position over rack to highest position. If you have a baking steel or stone, set it 
on the top rack and allow to preheat. If using a baking steel/stone, set a rimmed baking sheet on it to preheat as well; otherwise leave the baking sheet at room temperature.,Remove steaks from marinade and blot dry with paper towels. Arrange steaks in an even layer on rimmed baking sheet. Broil, without flipping, until steaks are well charred on top side, about 4 minutes. Broiler strength and oven designs vary greatly, so cooking times will vary as well; keep a close watch. If your broiler heats unevenly, you may need to move the sheet tray around for more even browning. If not using a baking steel or stone, flip steaks and broil for 30 seconds longer (steaks cooked with the help of a baking steel/stone do not need to be flipped and cooked longer). Remove from oven and transfer steaks to a platter to rest.,Switch oven from broil mode to 450°F (230°C). Add red, yellow, and green bell peppers as well as onions to baking sheet. Pour reserved 1/2 cup of marinade all over and toss until evenly coated; using a wooden spoon, scrape up any browned bits on the baking sheet. Arrange peppers and onion in an even layer that covers the baking sheet from edge to edge, then cook, stirring occasionally, until vegetables are tender and browned in spots, about 25 minutes (if your oven heats from the top, you will want to cook the vegetables on a middle rack to avoid excessive scorching and burning). If you're using a baking steel/stone, you can cook the vegetables on it, but keep a closer eye since they run the risk of scorching on the bottom; if this begins to happen, move the sheet pan to another rack.,Slice steak into thin strips across the grain; then add back to sheet pan with any juices. Return to oven to warm through; if steaks need additional cooking, leave them an additional minute or two until they've reached the desired doneness.,Serve immediately with hot tortillas, guacamole, ,, and other condiments, as desired. ","1/2 cup (120ml) soy sauce,1/2 cup (120ml) fresh lime juice, from 6 to 8 limes,1/2 cup (120ml) canola or other neutral oil,1/4 cup (55g) packed light brown sugar,2 teaspoons ground cumin seed,2 teaspoons freshly ground black pepper,1 tablespoon chili powder (see note),3 medium cloves garlic, finely minced (about 1 tablespoon),2 pounds (900g) trimmed skirt steak (about 1 whole steak; see note), cut crosswise into 5- to 6-inch pieces (,),1 large red bell pepper, stemmed, seeded, and cut into 1/2-inch-wide strips,1 large yellow bell pepper, stemmed, seeded, and cut into 1/2-inch-wide strips,1 large green bell pepper, stemmed, seeded, and cut into 1/2-inch-wide strips,1 white or yellow onion, cut into 1/2-inch slices,12 to 16 fresh flour or corn tortillas, hot (see note),1 recipe ,, for serving, if desired,1 recipe ,, for serving, if desired,Sour cream, shredded cheese, and salsa, for serving, if desired",https://www.seriouseats.com/recipes/2020/01/sheet-pan-skirt-steak-fajitas.html, Vicky Wasik],"January  7, 2020",4.0,Serves 4 to 8,Sheet-Pan Skirt Steak Fajitas Recipe,4 hours
20 minutes,Emily and Matt Clifton,Roasting,"Place thighs in a large zipper-lock bag. In a medium bowl, whisk together soy sauce, fish sauce, sugar, ginger, chili-garlic paste, lime juice, lime zest, garlic, cilantro, and oil. Pour marinade into bag with chicken, seal bag, and toss to coat well. Let chicken marinate for at least 30 minutes and up to 4 hours.,Preheat oven to 425°F (218°C) and set oven rack to middle position. Line a rimmed baking sheet with foil and place a wire rack on top. Remove chicken from bag, allowing marinade to drip off, and set on wire rack skin side up, making sure to leave space between thighs. Discard marinade. Bake until thighs register 155 to 160°F (68 to 71°C) on an instant-read thermometer, about 35 minutes. (Be sure to measure temperature in the center of the thickest part of the thighs, but not directly against the bone.) If chicken skin is not brown and crisp enough by the time the thighs are cooked through, turn on oven broiler and broil until browned and crisp, about 1 minute, being careful not to burn the skin. Transfer chicken to a platter and let rest for 5 minutes. Garnish with lime slices and cilantro, then serve.","2 pounds (900g) bone-in, skin-on chicken thighs ,1/4 cup (60ml) soy sauce ,1/4 cup (60ml) Asian fish sauce, such as ,1/4 cup (55g) palm or dark brown sugar,1 tablespoon (10g) minced peeled fresh ginger ,2 teaspoons (10ml) hot chili-garlic paste (,),1 1/2 tablespoons (20ml) fresh juice from 1 lime,1 teaspoon (5g) finely grated zest from 1 lime,3 medium cloves garlic, minced or grated (about 2 teaspoons),2 packed tablespoons (1/4 ounce) fresh cilantro leaves and tender stems, finely chopped,2 tablespoons (30ml) grapeseed or other neutral oil,Sliced limes and cilantro leaves, for garnish",https://www.seriouseats.com/recipes/2017/03/vietnamese-style-baked-chicken-recipe.html, Emily and Matt Clifton],"March 15, 2017",4.9411764705882,Serves 4,Vietnamese-Style Baked Chicken Recipe,1 hour 30 minutes
3 hours,Daniel Gritzer,Stovetop,"In a large Dutch oven, heat 1 tablespoon (15ml) oil over medium-high heat until shimmering. Season chicken all over with salt. Working in batches, sear chicken until browned on both sides, about 5 minutes per side. Transfer chicken to a platter, then set aside until cool enough to handle. Once chicken has cooled, shred into bite-size pieces.,Add sliced andouille to pot and cook, stirring, until lightly browned, about 6 minutes. Using a slotted spoon, transfer to a platter and set aside.,Add remaining 1 cup (235ml) oil to Dutch oven along with flour, stirring to form a paste. Lower heat to medium-low and cook, stirring and scraping frequently, until roux is a chestnut or chocolate-brown color but not scorched, about 1 hour. Alternatively, you can combine the flour and 1 cup oil in a separate ovenproof vessel and cook, uncovered, in a 350°F (180°C) oven, stirring occasionally, until roux is chestnut or chocolate-brown, about 4 hours, though how long this will take can vary dramatically depending on your oven. You can add the finished oven roux to the pot on the stovetop after removing the sausage, then immediately proceed to the next step of sautéing the aromatics.,Add onion, bell pepper, and celery and season lightly with salt. Cook over medium-high heat, stirring and scraping, until softened, about 10 minutes; lower heat to medium if any of the ingredients threaten to scorch. ,Stir in garlic, cayenne, and a generous amount of black pepper and cook, stirring, for 2 minutes longer.,Add stock, bay leaves, and thyme. Season lightly with salt. Bring to a gentle simmer, then allow to cook uncovered, stirring occasionally, for 1 hour. Add okra, if using, along with sausage and shredded chicken, and gently simmer, uncovered, for 1 hour longer. Skim any fat from the surface as it accumulates.,Remove from heat and add filé powder, if using, stirring well to break up any small lumps. Season stew with salt. Discard thyme sprigs and bay leaves.,Serve gumbo with warm rice, sprinkling sliced scallions on top of each bowl. Pass hot sauce at the table, as well as filé powder, if desired, to lightly shake on top of each serving of gumbo and rice.","1 cup plus 1 tablespoon (250ml) canola or vegetable oil, divided,6 boneless, skinless chicken thighs (about 2 1/4 pounds; 1kg total),Kosher salt,1 1/2 pounds Cajun-style andouille sausage (680g; about 8 links), sliced crosswise 1/2 inch thick,1 cup all-purpose flour (4 1/2 ounces; 130g),2 large yellow onions (about 12 ounces; 340g each), cut into 1/4-inch dice,2 green bell peppers (about 7 ounces; 200g each), cut into 1/4-inch dice,4 large celery ribs (9 ounces; 260g total), cut into 1/4-inch dice,8 medium cloves garlic, minced,1/4 teaspoon cayenne pepper,Freshly ground black pepper,1 1/2 quarts (1.4L) homemade , or , or store-bought low-sodium chicken broth,2 dried bay leaves,2 large sprigs fresh thyme,1 pound (450g) fresh okra, caps trimmed, pods cut crosswise 1/2 inch thick (optional; see note),1/2 teaspoon ,, plus more as needed for serving (optional; see note),Warm rice, thinly sliced scallions, and hot sauce, for serving",https://www.seriouseats.com/recipes/2019/10/cajun-gumbo-with-chicken-and-andouille-recipe.html, Vicky Wasik],"October  3, 2019",5.0,Serves about 10,Cajun Gumbo With Chicken and Andouille Sausage Recipe,5 hours
10 minutes,Daniel Gritzer,Roasting,"Preheat broiler and set oven rack to about 6 inches below broiler element. Meanwhile, in a small bowl, stir together mayonnaise, harissa, lime zest and juice, and coriander seed. Season with salt and pepper; feel free to adjust flavor and heat level by adding more harissa, if desired.,Line a rimmed baking sheet with aluminum foil. Lightly season salmon all over with salt and pepper. Set salmon on prepared baking sheet and rub a thin, even layer of harissa mayo all over the surface and sides.,Broil salmon until browned on top and the center registers 115 to 125°F for medium-rare to medium, respectively, about 5 minutes; it can help to keep the oven door cracked while salmon is cooking to prevent the broiler from cycling on and off (though not all ovens function this way). If salmon becomes well browned on top before it is cooked enough in the center, switch off the broiler and set the oven to 425°F, then continue cooking until done (this shouldn't take more than 1 to 2 minutes longer).,Transfer salmon to plates or a platter and serve.","1 cup mayonnaise (235ml),2 tablespoons harissa chili paste (30ml), plus more if desired,Finely grated zest of 2 limes plus 2 teaspoons fresh lime juice (10ml),1/2 teaspoon ground coriander seed,2 pounds boneless center-cut salmon fillet (900g), with or without skin and either whole or divided into individual portions (see note),Kosher salt and freshly ground black pepper",https://www.seriouseats.com/recipes/2017/05/baked-broiled-salmon-harissa-mayonnaise.html, Vicky Wasik],"May 11, 2017",4.75,Serves 4 to 6,Broiled Salmon With Chili-Lime Mayonnaise Recipe,15 minutes
1 hour,J. Kenji López-Alt,"Grilling, Smoking, and Barbecue","Combine pepper, salt, and pink salt (if using) in a small bowl. Rub two-thirds of mixture evenly over surface of brisket. Reserve remaining one-third of mixture. Slice brisket in half crosswise in order to fit into large vacuum bags.,Place each brisket half in a vacuum bag. (Fold over the top of each bag while you add brisket so that no rub or juices get on the edges of bags, which can weaken the seal.) Add 4 drops (about 1/8 teaspoon) liquid smoke, if using, to each bag. Seal bags using a vacuum sealer and let rest for 2 to 3 hours in the refrigerator.,Set your precision cooker to 135°F (57°C) for brisket with a tender, steak-like texture, or 155°F (68°C) for more traditionally textured brisket that falls apart when you pull at it. Add brisket to water bath and cover it with a lid, aluminum foil, or ,. Cook for 24 to 36 hours at 155°F or 36 to 72 hours at 135°F. Allow cooked brisket to cool at least to room temperature before proceeding (an ice bath can speed up this process). Brisket can be stored in the refrigerator at this stage for up to 1 week before finishing., , When all charcoal is lit and covered with gray ash, pour out and arrange coals on one side of charcoal grate. Set cooking grate in place, cover grill, and allow to preheat for 5 minutes. Alternatively, set half the burners on a gas grill to medium-high heat, cover, and preheat for 10 minutes. , and , grilling grate.,Remove brisket from bags and carefully blot dry with paper towels. (Liquid from bags can be added to your favorite , and simmered down to provide extra flavor.) Rub reserved salt and pepper mixture into surface of brisket. Place brisket on cooler side of grill, fat cap up. Add 4 to 5 hardwood chunks to hotter side of grill. (If using a gas grill, wrap wood chunks loosely in aluminum foil before placing over hotter side of grill.) Cover and allow brisket to smoke, adjusting vents to maintain a temperature between 275 and 300°F (135 and 149°C) and adding 2 to 3 wood chunks twice during cooking. Smoke until a deep, dark bark has formed, about 3 hours. Continue with step 7., Adjust oven rack to lower-middle position and preheat oven to 300°F (150°C). (If your oven has a convection setting, turn it on and adjust heat to 275°F/135°C instead.) Remove brisket from sous vide bags and carefully blot dry with paper towels. (Liquid from bags can be added to your favorite , and simmered down to provide extra flavor.) Rub reserved salt-and-pepper mixture into surface of brisket. Place brisket on a wire rack set in a rimmed baking sheet, fat cap up, and place in oven. Roast until a deep, dark bark has formed, about 2 hours. Continue with step 7.,Transfer brisket to a cutting board and tent with foil. Allow to rest until the temperature drops to between 145 and 165°F (63 and 74°C), about 30 minutes. Slice against the grain into thin strips and serve with white bread, dill pickles, and sliced onion.","2 ounces coarsely ground black peppercorns (about 1/3 cup; 55g); see note,2 1/4 ounces kosher salt (about 1/4 cup; 65g),1/4 ounce (10g) pink salt, such as , (optional; see note),1 flat-cut or point-cut brisket, about 5 pounds (2.25kg); see note,1/4 teaspoon liquid smoke, such as , (optional; see note),Dill pickles, sliced yellow onion, and white bread, for serving",https://www.seriouseats.com/recipes/2016/08/sous-vide-barbecue-smoked-bbq-brisket-texas-recipe.html, J. Kenji López-Alt],"August  1, 2016",3.9545454545455,Serves 8 to 10,Sous Vide Smoked Brisket Recipe,32 to 80 hours
45 minutes,J. Kenji López-Alt,"Grilling, Smoking, and Barbecue"," Combine soy sauce, lime juice, canola oil, brown sugar, cumin, black pepper, chili powder, and garlic in a medium bowl and whisk to combine. Transfer 1/2 cup (120ml) marinade to a large bowl and set aside., Place steaks in a gallon-sized zipper-lock bag and add remaining marinade. Seal bag, squeezing out as much air as possible. Massage bag until meat is fully coated in marinade. Lay flat in the refrigerator, turning every couple of hours, for at least 3 hours and up to 10., While steak marinates, toss peppers and onions in bowl with reserved 1/2 cup marinade. Refrigerate until ready to use.,When ready to cook, remove steaks from marinade, wipe off excess, and transfer to a large plate. , When all charcoal is lit and covered with gray ash, pour out and arrange coals on one side of charcoal grate. Set cooking grate in place, cover grill, and allow to preheat for 5 minutes. , and , grilling grate. ,Place a large cast iron skillet over cooler side of grill. Transfer steaks to hot side of grill. Cover and cook for 1 minute. Flip steaks, cover, and cook for another minute. Continue cooking in this manner, flipping and covering, until steaks are well charred and an instant-read thermometer inserted into their center registers 115 to 120°F (46 to 49°C) for medium-rare or 125 to 130°F (52 to 54°C) for medium. Transfer steaks to a large plate, tent with foil, and allow to rest for 10 to 15 minutes.,Meanwhile, transfer cast iron skillet to hot side of grill and allow to preheat for 2 minutes. Add pepper and onion mix and cook, stirring occasionally, until vegetables are softened and beginning to char in spots, about 10 minutes. When vegetables are cooked, transfer steaks to a cutting board and pour any accumulated juices from plate into skillet with vegetables. Toss to coat.,Transfer vegetables to a warm serving platter. Thinly slice meat against the grain and transfer to platter with vegetables. Serve immediately with hot tortillas, guacamole, ,, and other condiments as desired.","1/2 cup (120ml) soy sauce,1/2 cup (120ml) lime juice, from 6 to 8 limes,1/2 cup (120ml) canola oil,1/4 cup (55g) packed brown sugar,2 teaspoons ground cumin seed,2 teaspoons freshly ground black pepper,1 tablespoon chili powder (see note),3 medium cloves garlic, finely minced (about 1 tablespoon),2 pounds (900g) trimmed skirt steak (about 1 whole steak; see note), cut crosswise into 5- to 6-inch pieces (,),1 large red bell pepper, stemmed, seeded, and cut into 1/2-inch-wide strips,1 large yellow bell pepper, stemmed, seeded, and cut into 1/2-inch-wide strips,1 large green bell pepper, stemmed, seeded, and cut into 1/2-inch-wide strips,1 white or yellow onion, cut into 1/2-inch slices,12 to 16 fresh flour or corn tortillas, hot,1 recipe ,, for serving, if desired,1 recipe ,, for serving, if desired,Sour cream, shredded cheese, and salsa, for serving, if desired",https://www.seriouseats.com/recipes/2013/06/grilled-skirt-steak-fajitas-food-lab-recipe.html, J. Kenji López-Alt],"June 25, 2013",4.6666666666667,Serves 4 to 6,Grilled Skirt Steak Fajitas Recipe,4 to 12 hours
30 minutes,J. Kenji López-Alt,Braising and Stewing,"Adjust oven rack to lower position and preheat oven to 300°F (150°C). Combine salt, sugar, cayenne pepper, coriander, fennel seed, paprika, cumin, and black pepper in a small bowl and mix until homogeneous. Season pork with 2 to 3 tablespoons spice mixture, making sure to rub it on all sides. Reserve remaining spice mixture.,Whisk together ketchup, molasses, Worcestershire sauce, liquid smoke, mustard, hot sauce, and half of cider vinegar in a medium bowl. Whisk in remaining spice mixture. Set aside.,Heat oil in a Dutch oven over medium-high heat until shimmering. Add pork and cook, turning occasionally, until well browned on all sides, about 5 minutes total. (Pork will brown fast because of the sugar. Do not let it burn.) Add onion and cook, stirring and scraping up browned bits from the bottom of the pan, until softened, about 2 minutes.,Turn off burner and add bourbon. Relight burner. Carefully ignite the bourbon with a long match or lighter. (Stand back and make sure there is nothing flammable above it; it will produce tall flames.) Let cook until flames die out, about 2 minutes.,Add half of sauce mixture and chicken stock or water. Cover Dutch oven, transfer to oven, and cook until pork is just starting to turn tender, about 4 hours. Remove lid and continue cooking until a knife or fork shows very little resistance when twisted inside the meat and a dark bark has formed, about 1 hour longer. ,Transfer pork to a large bowl, reserving liquid in pot. Using a ladle, skim off excess fat and discard. Add reserved sauce and remaining vinegar to pot and whisk to combine. When pork is cool enough to handle, shred with two forks.,Transfer shredded pork to pot and toss with sauce. (If making ahead to serve over the course of several meals, store pork and sauce separately, adding sauce only to the portion you are serving immediately.) Season to taste with more salt, sugar, liquid smoke, or cider vinegar. Serve.","1 tablespoon (6g) kosher salt,5 tablespoons dark brown sugar (2 1/4 ounces; 65g),Large pinch cayenne pepper,1 teaspoon (2g) ground coriander ,1/2 teaspoon (1g) ground fennel seed,1 tablespoon (6g) paprika,1 teaspoon (2g) ground cumin,1 teaspoon (2g) freshly ground black pepper,1 whole bone-in or boneless pork butt (5 to 7 pounds; 2.25 to 3kg),1 cup ketchup (8 ounces; about 225g),1/2 cup dark molasses (4 ounces; about 115g),2 tablespoons (30ml) Worcestershire sauce,1 tablespoon (15ml) high-quality liquid smoke, such as , (see note),1 tablespoon (15ml) brown mustard,2 teaspoons (10ml) hot sauce,1/2 cup (120ml) cider vinegar, divided,1 tablespoon (15ml) vegetable oil,1 large onion, finely minced (about 6 ounces; 170g),1 cup (240ml) bourbon,1/2 cup (120ml) , or store-bought low-sodium chicken stock or water",https://www.seriouseats.com/recipes/2016/02/easy-oven-pulled-pork-recipe.html, J. Kenji López-Alt. Video,"February 15, 2016",5.0,Serves 8 to 12,Easy Oven-Cooked Pulled Pork Recipe,6 hours
30 minutes,Sohla El-Waylly,Stovetop,"With a sharp knife, gently score duck breast skin in a tight crosshatch pattern, keeping the scores 1/8 inch apart. If you prefer a little fat left on the breasts after cooking, just barely score the skin; to render more fat, score more deeply, taking care not to expose the flesh.,Season duck breasts with salt, heavily on the skin side and lightly on the flesh side.,Place duck breasts, skin side down, in a large, cold sauté pan. Place pan over low to medium-low heat. To keep the edges from curling up, press duck breasts down with the help of a smaller sauté pan. After about 5 minutes, the fat should begin to gently bubble. If the fat is either silent or spitting, adjust heat accordingly. Maintain the gentle bubble of fat, pouring out excess rendered fat throughout the cooking process, until much of the fat has rendered, skin is golden brown, and duck's internal temperature is 125°F (52°C), about 15 minutes. ,Increase heat to medium and further brown skin if needed, about 1 minute, before flipping and cooking on the flesh side. For medium-rare meat, cook until breast registers 130°F (54°C) on an instant-read thermometer, about 1 to 2 minutes. Continue cooking until duck registers 140°F (60°C) for medium or 155°F (68°F) for well-done. Remove duck from pan and set aside to rest., Over high heat, deglaze sauté pan with white wine. Scrape up any brown bits stuck to pan and let wine reduce until pan is almost dry and only 1 to 2 tablespoons remain, about 2 minutes. Add chicken stock and let reduce by half, until sauce is sticky and rich, about 2 minutes. Remove sauce from heat and swirl in butter until melted and evenly incorporated. Season sauce with orange juice and zest, salt, and black pepper. Serve with duck breast. ","4 duck breasts, 4 to 5 ounces (112 to 140g) each,Kosher salt,1/2 cup dry white wine (4 fluid ounces; 120ml),1 1/2 cups , or store-bought stock combined with 1 tablespoon powdered , (12 fluid ounces; 360ml),4 tablespoons unsalted butter (2 ounces; 60g),1/4 cup (60ml) freshly squeezed orange juice from 1 orange,1 teaspoon freshly grated orange zest,Freshly ground black pepper, to taste",https://www.seriouseats.com/recipes/2018/02/pan-seared-duck-breast.html, Vicky Wasik],"February  1, 2018",5.0,Serves 4,Pan-Seared Duck Breast Recipe,30 minutes
2 hours,J. Kenji López-Alt,Stovetop,"Place beans, 6 tablespoons kosher salt (or 3 tablespoons table salt), and water in a large plastic container or bowl. Allow to soak at room temperature at least 8 hours, or overnight. Drain and rinse soaked beans.,Add dried chilies to a large heavy-bottomed Dutch oven or stockpot and cook over medium-high heat, stirring frequently, until slightly darkened with an intense, roasted aroma, 2 to 5 minutes. Do not allow to smoke. Remove chilies, place in a small bowl, and set aside. Alternatively, place dried chilies on a microwave-safe plate and microwave on high power in 15-second increments until chilies are pliable and toasted-smelling, about 30 seconds total.,Season short ribs on all sides with salt and pepper. Add oil to Dutch oven and heat over high heat until smoking. Add half of short ribs and brown well on all sides (it may be necessary to brown ribs in 3 batches, depending on size of Dutch oven—do not overcrowd pan), 8 to 12 minutes total, reducing heat if fat begins to smoke excessively or meat begins to burn. Transfer to a large rimmed baking sheet or plate. Repeat with remaining short ribs, browning them in the fat remaining in Dutch oven. Once all short ribs are cooked, transfer all rendered fat into a small bowl and reserve separately. Allow short ribs to cool at room temperature.,Meanwhile, return Dutch oven to medium-high heat and add 1 cup (240ml) chicken broth, using a flat wooden spoon or stiff spatula to scrape browned bits off of bottom of pan. Reduce heat until chicken broth is at a bare simmer, add toasted chilies to liquid, and cook until chilies have softened and liquid is reduced by half, 5 to 8 minutes. Transfer chilies and liquid to a blender. Add anchovy, Marmite, soy sauce, tomato paste, ground spices, coffee, and chocolate and blend at high speed, scraping down sides as necessary, until a completely smooth purée has formed, about 2 minutes. Set chili purée aside.,Trim meat from short rib bones and hand-chop into rough 1/2-inch to 1/4-inch pieces (finer or larger, as you prefer), reserving bones separately. Add any accumulated meat juices to chili purée.,Heat 4 tablespoons (60ml) rendered beef fat (if necessary, add vegetable oil to reach 4 tablespoons) in a large Dutch oven or heavy-bottomed stockpot over medium heat until shimmering. Add onions and cook, stirring frequently, until softened but not browned, 6 to 8 minutes. Add fresh chilies, garlic, and oregano and cook, stirring frequently, until fragrant, about 1 minute. Add chili purée and cook, stirring frequently and scraping bottom of pot, until chili mixture begins to fry and leaves a coating on bottom of pan, 2 to 4 minutes. Add chicken stock, chopped beef, beef bones, and bay leaves. Bring to a simmer, scraping bottom of pan to loosen browned bits. Reduce heat to lowest possible setting, add beans, and cook, with cover slightly ajar, until beans are almost tender, about 1 hour. Add crushed tomatoes and cider vinegar and cook, with cover slightly ajar, until beans and beef are fully tender and broth is rich and lightly thickened, 2 to 3 1/2 hours longer, adding water if necessary to keep beans and meat mostly submerged (a little protrusion is okay).,Using tongs, remove and discard bay leaves and bones. (At this point, any excess meat still attached to the bones can be removed, chopped, and added back to the chili, if desired.) Add vodka (or bourbon), hot sauce, and brown sugar and stir to combine. Season to taste with kosher salt, ground black pepper, and additional vinegar.,Serve immediately, or, for best flavor, allow to cool and refrigerate overnight, or up to 1 week in a sealed container. Reheat and serve with desired garnishes.","1 pound (450g) dried dark red kidney beans,Kosher salt,4 quarts (3.8L) water,3 whole ancho, ,, or , chilies, seeded and torn into rough 1-inch pieces (about 1/2 ounce),2 whole New Mexico red, California, ,, or , chilies, seeded and torn into rough 1-inch pieces (about 1/8 ounce),1 whole ,, ,, or , chili, seeded and torn in half,5 pounds (2.3kg) bone-in beef short ribs, trimmed of silver skin and excess fat,Freshly ground black pepper,2 tablespoons (30ml) vegetable oil,1 quart (900ml) low-sodium chicken broth (preferably ,), divided,2 whole anchovy fillets,1 teaspoon (5ml) Marmite,2 teaspoons (10ml) soy sauce,2 tablespoons (30ml) tomato paste,1 1/2 tablespoons whole cumin seeds, toasted, then ground,1 1/2 teaspoons whole coriander seeds, toasted, then ground,2 whole cloves, toasted and ground,1 star anise, toasted and ground,1 tablespoon extra-finely ground coffee beans,1 ounce chopped unsweetened chocolate,1 large yellow onion, diced fine (about 1 1/2 cups),3 fresh Thai bird chilies or 1 jalapeño, finely chopped,4 cloves garlic, minced (about 1 tablespoon),1 tablespoon dried oregano leaves,2 bay leaves,1 (28-ounce; 794g) can crushed tomatoes,1/4 cup (60ml) cider vinegar, plus more to taste,1/4 cup (60ml) vodka or bourbon,1 tablespoon (15ml) Buffalo-style hot sauce, such as Frank's RedHot (or more to taste),2 tablespoons dark brown sugar,Scallions, sliced finely,Cheddar, Jack, or Colby cheese, grated,Sour cream,Jalapeño or Poblano peppers, diced and seeded,Onion, diced,Avocado, diced,Saltines,Fritos",https://www.seriouseats.com/recipes/2010/01/the-best-chili-recipe.html, J. Kenji López-Alt],"January 22, 2010",4.4545454545455,Serves 6 to 10,The Best Chili Ever Recipe,"6 hours, plus overnight to soak beans"
1 hour,J. Kenji López-Alt,Stovetop,"Adjust oven rack to lower-middle position and preheat oven to 300°F (150°C). Place stock in a medium bowl or 1-quart liquid measure and sprinkle with gelatin. Set aside. Purée tomatoes in the can using an immersion blender or transfer to the bowl of a countertop blender and purée until smooth. Transfer chicken livers to a cup that just fits head of immersion blender and purée until smooth.,Heat olive oil in a large Dutch oven over high heat until shimmering. Add ground beef, pork, and lamb; season with salt and pepper; and cook, stirring and breaking up with a wooden spoon or potato masher, until no longer pink, about 10 minutes. Remove from heat and stir in puréed chicken livers.,Meanwhile, heat butter and pancetta in a large skillet over medium-high heat and cook, stirring frequently, until fat has mostly rendered but butter and pancetta have not yet started to brown, about 8 minutes. Add onion, carrots, celery, garlic, sage, and half of parsley and cook, stirring and tossing, until vegetables are completely softened but not browned, about 8 minutes. Transfer mixture to Dutch oven with meat mixture.,Return Dutch oven to high heat and cook, stirring, until most of the liquid has evaporated from the pan, about 10 minutes longer.,Add wine and cook, stirring, until mostly evaporated. Add reserved stock, tomatoes, milk, and bay leaves. Season gently with salt and pepper.,Bring sauce to a simmer, then transfer to oven, uncovered. Cook, stirring and scraping down sides of pot occasionally, until liquid has almost completely reduced and sauce is rich and thick underneath a heavy layer of fat, 3 to 4 hours. If sauce still looks liquid or fat has not separated and formed a thick layer after 4 hours, transfer to stovetop and finish cooking at a brisk simmer, stirring frequently.,Carefully skim off most of the fat, leaving behind about 1 cup total. (For more precise measurement, skim completely, then add back 1 cup of fat.),Stir in heavy cream, Parmesan, fish sauce, and remaining parsley. Bring to a boil on stovetop, stirring constantly to emulsify. Season to taste with salt and pepper. Bolognese can be cooled and stored in sealed containers in the refrigerator for up to 1 week., Heat sauce in a large pot until just simmering. Set aside. Cook pasta in a large pot of well-salted water until just barely al dente. Drain, reserving 1/2 cup cooking liquid. Return pasta to pot and add just enough sauce to coat, along with some of the cooking liquid. Cook over high heat, tossing and stirring gently, until sauce is thick and pasta is coated, about 30 seconds. Transfer to a serving bowl and serve immediately, passing Parmesan at the table.","1 quart  (1L) , or store-bought low-sodium chicken stock,1 to 1 1/2 ounces powdered gelatin (4 to 6 packets; 30 to 45g), such as Knox (see note),1 (28-ounce; 800g) can peeled whole tomatoes, preferably San Marzano,1/2 pound (225g) finely minced chicken livers,1/4 cup (60ml) extra-virgin olive oil,1 pound (450g) ground beef chuck (about 20% fat),1 pound (450g) ground pork shoulder (about 20% fat),1 pound (450g) ground lamb shoulder (about 20% fat),Kosher salt and freshly ground black pepper,4 tablespoons (60g) unsalted butter,1/2 pound (225g) finely diced pancetta,1 large onion, finely minced (about 8 ounces; 225g),2 carrots, finely chopped (about 8 ounces; 225g),4 ribs celery, finely chopped (about 8 ounces; 225g),4 medium cloves garlic, minced,1/4 cup (about 25g) minced fresh sage leaves,1/2 cup (about 50g) minced fresh parsley leaves, divided,2 cups (475ml) dry white or red wine,1 cup (235ml) whole milk,2 bay leaves,1 cup (235ml) heavy cream,3 ounces (85g) finely grated Parmesan cheese,2 tablespoons (30ml) Vietnamese or Thai fish sauce, such as Red Boat,Dried or fresh pasta, preferably pappardelle, tagliatelle, or penne",https://www.seriouseats.com/recipes/2014/12/the-best-slow-cooked-bolognese-sauce-recipe.html, J. Kenji López-Alt],"December  9, 2014",4.3548387096774,Serves 8 to 10,The Best Slow-Cooked Bolognese Sauce Recipe,4 to 5 hours
